"ppntID","questiontext","text","hm_options","bookend_labels","response","responseTime"
"8851512","spacer_screen","This block of questions asks you to judge if a sentence is grammatical or not. It doesn't matter if the sentence is ugly or even makes no sense: please answer 'Yes' if it is a valid construction in English or 'No' if it is not.",0,"Continue_button_only","continue",1549990909684
"8851512","Is this a valid <em>grammatical</em> English sentence?","The skyscrapers from the 80’s ever brought their designers fame.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1549990928350
"8851512","Is this a valid <em>grammatical</em> English sentence?","The keys to the cabinet are on the table.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1549990934787
"8851512","Is this a valid <em>grammatical</em> English sentence?","None of the garden forks with wooden handles ever have more than four tines.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1549990942582
"8851512","Is this a valid <em>grammatical</em> English sentence?","No party that was organized by the journalists had any problems with catering.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1549990949747
"8851512","Is this a valid <em>grammatical</em> English sentence?","No authors that the critics recommended have received any acknowledgement for a best selling novel.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1549990955950
"8851512","Is this a valid <em>grammatical</em> English sentence?","The picture that the artist who the school had expelled for cheating was printed in a magazine.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","5",1549990963193
"8851512","Is this a valid <em>grammatical</em> English sentence?","The painter who the film that the friend liked disturbed admired the poet.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1549990983901
"8851512","Is this a valid <em>grammatical</em> English sentence?","The clerk who the walking stick that the visitor forgotten about helped annoyed the neighbour.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1549991016260
"8851512","Is this a valid <em>grammatical</em> English sentence?","Kyle expects for everyone to be honest that you do.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","4",1549991027412
"8851512","Is this a valid <em>grammatical</em> English sentence?","The singer that the venue hosted had any problem selling tickets.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1549991037242
"8851512","Is this a valid <em>grammatical</em> English sentence?","The artist who the computer that the guard shouted at annoyed instructed the newscaster.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","1",1549991051590
"8851512","Is this a valid <em>grammatical</em> English sentence?","The girls that the science teachers questioned were nervous.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","4",1549991058872
"8851512","Is this a valid <em>grammatical</em> English sentence?","That movie impossible to watch without enjoying.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","0",1549991068180
"8851512","Is this a valid <em>grammatical</em> English sentence?","Nobody who believed ever said so much as a word about it.",6,"[""Definitely </br>not grammatical"",""Probably </br>not grammatical"",""Possibly </br>not grammatical"",""Possibly </br>grammatical"",""Probably </br>grammatical"",""Definitely </br>grammatical""]","4",1549991083474
